location_id,location_name,sub_population,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile
161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.155875,0.11628321784056578,0.19546678215943425
161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,zinc,0.155875,0.11628321784056578,0.19546678215943425
161,Bangladesh,,wheat flour,percent of population eating industrially produced vehicle,na,38.241333333333344,28.528149443552145,47.954517223114536
161,Bangladesh,women of reproductive age,wheat flour,percent of population eating vehicle,na,41.9,31.257525757945185,52.542474242054816
161,Bangladesh,under-5,wheat flour,percent of population eating vehicle,na,76.2,56.84542870538003,95.55457129461998
165,Pakistan,total population,oil,percent of population eating fortified vehicle,vitamin a,28.492582408768712,0.0,29.485579552785932
165,Pakistan,total population,oil,percent of population eating industrially produced vehicle,na,85.0,0.0,87.96234142734241
165,Pakistan,total population,oil,percent of population eating vehicle,na,100.0,100.0,100.0
165,Pakistan,,wheat flour,percent of population eating fortified vehicle,folic acid,1.9466666666666663,0.0,2.4411141573078763
165,Pakistan,total population,wheat flour,percent of population eating fortified vehicle,iron,3.8212394702415495,0.0,4.791822826679948
165,Pakistan,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0
165,Pakistan,,wheat flour,percent of population eating fortified vehicle,zinc,1.9466666666666663,0.0,2.4411141573078763
165,Pakistan,total population,wheat flour,percent of population eating industrially produced vehicle,na,41.52578576674592,0.0,52.07321071671442
165,Pakistan,total population,wheat flour,percent of population eating vehicle,na,100.0,100.0,100.0
190,Uganda,total population,oil,percent of population eating fortified vehicle,vitamin a,54.4,48.3,60.4
190,Uganda,total population,oil,percent of population eating industrially produced vehicle,na,89.0,84.7,93.2
190,Uganda,total population,oil,percent of population eating vehicle,na,89.9,85.9,94.0
190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,folic acid,8.5,5.7,11.4
190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,iron,8.5,5.7,11.4
190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,8.5,5.7,11.4
190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,zinc,8.5,5.7,11.4
190,Uganda,total population,wheat flour,percent of population eating industrially produced vehicle,na,10.6,7.6,13.6
190,Uganda,total population,wheat flour,percent of population eating vehicle,na,11.2,7.7,14.7
190,Uganda,total population,maize flour,percent of population eating fortified vehicle,folic acid,6.5,3.3,9.7
190,Uganda,total population,maize flour,percent of population eating fortified vehicle,iron,6.5,3.3,9.7
190,Uganda,total population,maize flour,percent of population eating fortified vehicle,vitamin a,6.5,3.3,9.7
190,Uganda,total population,maize flour,percent of population eating fortified vehicle,zinc,6.5,3.3,9.7
190,Uganda,total population,maize flour,percent of population eating industrially produced vehicle,na,42.4,32.7,52.1
190,Uganda,total population,maize flour,percent of population eating vehicle,na,91.8,87.7,96.0
189,United Republic of Tanzania,total population,oil,percent of population eating fortified vehicle,vitamin a,53.6,46.4,60.8
189,United Republic of Tanzania,total population,oil,percent of population eating industrially produced vehicle,na,92.6,89.0,96.3
189,United Republic of Tanzania,total population,oil,percent of population eating vehicle,na,96.2,93.2,99.2
189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,folic acid,33.1,27.5,38.7
189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,iron,33.1,27.5,38.7
189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,33.1,27.5,38.7
189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,zinc,33.1,27.5,38.7
189,United Republic of Tanzania,total population,wheat flour,percent of population eating industrially produced vehicle,na,50.5,43.3,57.7
189,United Republic of Tanzania,total population,wheat flour,percent of population eating vehicle,na,51.5,44.5,58.5
189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,folic acid,2.5,1.3,3.7
189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,iron,2.5,1.3,3.7
189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,vitamin a,2.5,1.3,3.7
189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,zinc,2.5,1.3,3.7
189,United Republic of Tanzania,total population,maize flour,percent of population eating industrially produced vehicle,na,36.6,29.2,44.0
189,United Republic of Tanzania,total population,maize flour,percent of population eating vehicle,na,93.0,89.7,96.4
196,South Africa,,oil,percent of population eating fortified vehicle,vitamin a,34.01331796536698,0.0,35.198718681722006
196,South Africa,,oil,percent of population eating industrially produced vehicle,na,81.71695585849979,0.0,84.5648796662168
196,South Africa,,oil,percent of population eating vehicle,na,99.01487679443493,0.0,100.0
196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,folic acid,5.707703745886679,3.166260481217212,9.075797429804837
196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,iron,5.707703745886679,3.166260481217212,9.075797429804837
196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,5.707703745886679,3.166260481217212,9.075797429804837
196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,zinc,5.707703745886679,3.166260481217212,9.075797429804837
196,South Africa,total population,wheat flour,percent of population eating industrially produced vehicle,na,10.917484405743973,6.391077697764957,15.990590275225616
196,South Africa,total population,wheat flour,percent of population eating vehicle,na,10.917484405743973,6.391077697764957,15.990590275225616
196,South Africa,total population,maize flour,percent of population eating fortified vehicle,folic acid,58.05414845976284,50.86576232232108,72.35622537373347
196,South Africa,total population,maize flour,percent of population eating fortified vehicle,iron,58.05414845976284,50.86576232232108,72.35622537373347
196,South Africa,total population,maize flour,percent of population eating fortified vehicle,vitamin a,58.05414845976284,50.86576232232108,72.35622537373347
196,South Africa,total population,maize flour,percent of population eating fortified vehicle,zinc,58.05414845976284,50.86576232232108,72.35622537373347
196,South Africa,total population,maize flour,percent of population eating industrially produced vehicle,na,96.44486595880171,92.26308149835468,98.90660167699477
196,South Africa,total population,maize flour,percent of population eating vehicle,na,96.58154074917736,92.33141889354252,99.04327646737042
